Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
21.53383,0.77022773,799.84644,5680.9985,480.55,1810.3473
21.48384,0.86702055,798.6469,5618.92,480.55,1720.9519
21.502138,0.87611383,799.89874,5418.905,480.55,1572.4829
21.607151,0.99248445,804.59204,5273.5493,480.55,1765.2129
21.767658,0.902714,812.1032,5176.5522,480.55,1684.9478
22.016382,0.8994101,817.5987,4889.2725,480.55,1677.4724
22.383688,0.8674838,816.6148,4570.028,480.55,1910.3226
22.857458,1.1061009,815.52826,4326.322,480.55,1723.7849
23.41401,0.9010534,814.1303,4125.472,480.55,1718.8845
23.947977,0.85789394,810.72375,3899.097,480.55,2142.4858
24.461973,0.5316728,803.25793,3568.262,444.76,2028.7972
25.026402,0.8145164,793.5984,3266.293,427.68,1754.695
25.677876,0.9644658,783.117,2961.5664,412.47,1693.5887
26.428164,1.5588273,770.69336,2670.677,420.87,1776.3097
27.198654,1.6391237,761.49274,2438.2175,404.51,1522.2784
28.005146,1.4771051,751.4277,2213.4094,443.99,1647.2964
28.907904,1.6010132,740.35645,1993.2618,532.63,1837.4318
29.937584,1.7166791,737.1919,1824.1926,732.64,2023.8274
31.09144,1.9072474,731.6757,1669.0952,773.93,1897.3308
32.23511,1.5927873,728.2311,1530.6344,938.78,1964.4705
33.365974,2.1742623,724.0995,1422.5414,1198.31,1728.4187
34.58349,2.9999108,717.8718,1327.7664,1673.0,1861.422
35.95892,3.4833095,712.7719,1229.0643,2386.97,1847.3027
37.472374,3.0435073,708.99207,1117.1188,3287.86,2008.6268
38.85228,2.4295483,702.5785,1053.1161,4338.92,1664.4872
40.044525,2.373874,697.62415,1002.1076,5091.41,1479.1082
41.057487,2.062252,693.83386,956.1784,4594.58,1895.3584
42.02441,1.7326448,688.8192,915.44196,5330.56,1977.6014
43.06768,2.466941,683.0668,879.80164,7719.69,1858.7711
44.034317,2.4923408,675.76624,843.52814,11862.52,1566.9137
47.252697,2.5327082,670.528,820.1172,15399.46,1651.348
47.47992,2.579782,665.6298,793.3348,17390.37,1828.9294
55.40639,22.586,762.5264,65670.25,144459.52,910.99164
60.828335,22.023537,760.52686,61216.543,144459.52,859.732
66.293106,22.717243,752.31744,53982.203,150858.55,848.0256
71.67633,22.597715,741.17883,47634.64,159466.1,899.76373
76.98471,23.351929,729.62585,42164.266,184722.44,892.4657
82.03597,23.186565,722.7341,36882.934,205184.23,860.5064
87.105034,23.060183,711.58905,32026.355,215339.62,876.42865
92.33811,23.488817,696.7202,27844.885,225664.9,844.0419
97.70232,22.389992,691.7975,24331.496,232498.1,954.80756
103.4383,22.78122,689.4321,21381.893,249467.8,854.09247
109.202934,21.86497,694.38477,18877.646,241520.9,859.003
115.28333,21.75351,692.6534,15936.762,240633.73,809.0416
121.63635,20.604284,690.896,13327.627,247523.55,858.8918
128.2935,20.96693,696.9975,11711.932,250147.33,824.7141
135.63562,21.504007,698.24115,10304.71,261624.06,773.33167
143.41455,20.585382,678.6355,8871.375,275573.56,809.3991
152.73778,19.875765,633.0275,7567.688,290146.0,749.2904
163.53352,19.300797,612.37225,6423.184,306322.88,756.8613
175.06761,19.596046,609.26843,5545.657,315666.6,792.7497
187.28516,17.805307,606.3383,4855.625,322594.16,728.45404
199.11142,16.705936,601.3276,4238.802,331881.25,842.8482
211.2896,14.636001,589.809,3771.1328,337317.6,699.6249
223.80592,12.300146,571.6587,3520.0066,340922.94,833.1714
236.45451,10.346161,558.70703,3309.209,341224.97,781.849
249.95717,9.215271,541.96216,3108.9485,340394.4,774.1
263.1802,9.260266,524.87964,3094.8682,336562.56,810.2241
277.25363,10.034492,515.3506,3119.0173,328540.16,869.12225
291.7935,10.195702,501.05368,2901.0188,312419.9,784.51636
306.7123,8.204449,487.70862,2701.0378,283822.47,804.549
322.93567,7.8235164,476.23865,2535.1973,262700.0,775.07324
340.22665,7.473822,468.11768,2493.1816,247844.44,834.86456
356.84915,7.1866364,458.91144,2380.8706,233876.05,827.3098
26.897917,0.64123154,709.3223,150864.86,113120.57,2936.2212
27.46658,0.7024512,716.95044,137079.28,115478.86,2860.8015
28.132034,0.72430617,723.5445,125150.375,124362.22,3067.416
28.814333,1.0697365,731.0189,114995.84,126756.03,2990.4817
29.494959,0.996328,734.60675,105450.766,127382.89,3005.0403
30.163353,0.9322982,735.6144,96960.53,137901.08,3588.3894
30.87023,1.1579056,738.5349,89109.32,141286.55,3279.4084
31.679304,1.4168825,743.80536,82776.836,135253.98,2342.6814
32.51279,1.5112525,751.6886,78696.86,136116.05,3524.3354
33.32383,1.0285596,759.78406,74769.25,137639.95,3380.8242
34.06946,0.84551597,767.3755,70834.766,142709.22,3345.4768
34.851814,0.7899211,768.6713,67343.46,146060.61,3229.5305
35.6704,0.67548376,779.37683,64392.75,154432.4,2710.366
36.48523,0.95894635,786.9745,61679.996,164929.31,3076.247
37.246883,1.0291548,791.4671,59266.773,173325.52,2796.8582
37.930542,1.8951619,795.5933,56975.117,178526.94,3123.928
38.672077,2.1703968,794.5155,54581.32,185738.2,2938.029
39.370304,2.2481654,791.1622,52533.18,221902.86,3324.9883
40.071106,1.9296296,790.32007,50516.33,258851.67,3469.9106
40.779472,1.4688904,781.79846,48270.895,260714.84,2958.5571
41.511074,1.8135537,775.4017,46048.395,313639.25,3773.515
42.52225,2.2964933,761.82214,43984.94,206061.7,3257.664
43.673267,2.6328077,750.63934,41886.36,254912.7,3340.6816
44.969078,3.0451932,740.3777,40192.367,314990.4,3652.3726
46.32401,3.02888,724.84033,38737.848,253450.88,3072.5667
47.64689,2.858155,715.8271,37420.53,313069.12,2802.0144
49.06236,2.1259458,702.81354,36179.344,349797.62,3754.9534
50.525402,1.3330256,689.82214,35621.766,279005.7,3661.7627
52.11894,2.6046867,676.1732,35045.31,261305.81,3210.189
53.84887,2.720699,666.16284,34507.438,274421.03,2868.7268
57.167515,2.8528266,651.6272,34180.29,213036.33,3613.3914
58.045864,2.9778376,639.6052,33702.586,283297.12,3506.876
26.328701,2.365732,1344.2606,5033.5713,21.0,2150.0903
26.38307,2.6063435,1340.4271,4850.1772,21.0,1933.5923
26.397806,2.7402275,1336.9688,4675.5737,21.0,1886.8611
26.381077,2.7991276,1331.7433,4714.3486,46.0,1808.7196
26.3832,2.7229588,1324.5206,4734.2373,35.59,2310.9753
26.466452,2.7647884,1316.0442,4241.8623,25.19,2041.3944
26.515224,2.9867513,1305.5754,4087.8076,14.79,2083.2861
26.587341,3.716671,1296.8927,3897.2842,4.38,2026.592
26.657393,3.7073157,1288.2931,3715.145,0.66,1578.5013
26.72375,2.9301028,1274.0674,3512.9084,0.97,1924.377
26.792753,1.7902802,1253.4204,3315.9067,1.28,2051.5583
26.79715,1.7866923,1242.7467,3007.3826,1.79,2039.2495
26.826283,2.307212,1211.8435,2774.2559,2.3,2228.4624
26.906763,3.5642018,1191.3531,2516.011,2.81,1742.3584
27.061966,3.7854671,1169.2393,2298.613,3.31,1861.3575
27.36545,3.4054666,1149.0934,2095.5579,3.82,1985.8981
27.830812,2.8637443,1126.5211,1897.1671,4.33,1914.7982
28.437344,3.146086,1101.8353,1703.5426,0.44,1915.6158
29.099823,3.3408802,1079.5112,1598.9005,0.07,2099.545
29.774658,3.2256722,1053.7872,1446.1034,25.67,1886.3556
30.441725,3.854937,1024.085,1310.3242,1.83,1908.2947
31.078142,4.5743566,993.9014,1184.2286,43.8,2152.1133
31.793522,5.0363083,973.7493,1098.6268,43.53,1868.653
32.544056,4.6840515,963.01874,1013.8044,125.89,2055.029
33.28728,4.0943413,948.927,930.232,3.0,1854.0664
34.085094,4.29418,936.0204,864.6857,50.37,1876.2891
34.862366,3.632241,923.5625,798.7962,97.74,1900.7954
35.720078,3.5225546,909.0186,736.00757,145.1,2114.555
36.613396,4.0509863,894.1383,693.49646,187.31,2265.8806
37.500477,4.081207,880.2692,653.84564,187.31,1590.5499
39.405903,4.1264,866.9517,597.88763,187.31,1737.3104
40.35691,4.1519833,852.68396,571.4787,187.31,1848.1522
32.92164,1.0283118,414.99908,596.16266,23818.2,2517.9956
33.074394,0.87760395,404.75372,550.5953,23887.53,2893.0845
33.16026,0.9865626,401.83377,560.40845,24701.08,2505.2256
33.260418,1.134504,401.69504,552.9143,26701.6,2875.287
33.371483,1.2159214,398.112,523.6304,26776.03,2811.4976
33.452854,1.1330174,413.09412,526.82794,27591.49,3179.8052
33.69965,1.5717134,406.8292,482.6546,28062.83,3094.186
33.984894,1.918007,406.31213,467.09036,28601.07,2519.9407
34.40158,2.1832724,405.46362,448.7169,27143.54,2782.5146
34.83557,1.4988177,443.9365,432.57724,29260.62,3120.2715
35.29297,1.1315686,411.12686,392.13602,30205.55,2963.9946
36.12633,1.1030812,398.9264,371.78815,30978.86,2989.4102
37.073433,1.0574609,391.242,352.65002,31620.88,2321.6917
38.169086,1.5753765,397.33682,337.05707,34047.02,2589.8374
39.339672,1.7815682,389.00345,343.1314,36017.35,2361.7563
40.499752,2.146927,378.61462,355.68692,37579.43,2476.1064
41.96203,1.8632778,367.13135,363.3905,39407.94,2944.8535
43.55034,1.5225623,359.7866,374.67343,46869.81,3280.7231
45.324257,1.1550635,364.11176,389.10864,54823.37,3518.5122
47.149513,0.889633,365.21732,400.7761,52465.65,2922.3713
48.840588,1.08346,360.1958,403.3572,60196.29,3116.2285
50.83479,1.3473033,349.23636,415.72565,41563.62,3134.2332
52.960537,1.5838493,332.31705,420.4826,49810.48,3169.1277
55.386528,1.7701384,324.05865,425.61972,61445.6,3105.323
57.910053,1.9329093,321.94965,440.44986,49199.43,2850.7173
60.137627,1.8879019,331.63437,460.06174,63307.64,2687.2253
62.478493,1.372596,325.3273,471.49762,67329.5,2734.0088
64.62519,0.8426958,322.53094,491.56723,50762.5,3257.1455
66.904434,1.7439886,317.5519,499.0594,44114.0,2909.1562
69.28924,1.8528577,310.1206,511.16586,47805.0,2523.0012
72.75403,1.677629,279.7523,463.2117,36076.9,3143.626
75.38139,2.090159,301.38852,532.3118,45671.0,3160.4644
27.827261,5.1452107,1073.2474,28303.3,209.08,2542.5828
28.330503,5.8578973,1082.6647,27332.744,114.0,2645.0715
28.89265,6.386992,1087.3197,25947.084,151.18,2220.2087
29.50749,6.787681,1090.0975,24450.836,160.33,2354.771
30.17822,6.817379,1089.8822,22801.326,190.0,2519.2087
30.830313,6.8124933,1088.2563,21133.555,264.76,2424.7822
31.612213,6.8780403,1084.7726,19661.268,137.24,2498.323
32.532356,6.952255,1079.4305,18277.572,145.54,2309.1792
33.500225,7.1591516,1071.7537,16907.086,282.88,2156.4456
34.44076,6.93326,1061.8737,15547.52,420.21,2510.8853
35.170593,6.0783625,1051.834,14251.477,557.55,2452.3535
35.830845,5.51718,1038.8854,12647.378,694.89,2337.3142
36.499226,5.863599,1025.0376,11259.284,949.06,2357.806
37.17473,6.77803,1009.95886,10038.005,858.94,2256.7163
37.886063,7.0148544,998.4377,9568.459,1042.39,2346.6582
38.520176,6.659391,975.07153,8975.809,1448.85,2198.522
39.24258,7.473476,953.23456,8296.933,3872.16,2311.946
40.03222,8.571257,923.6933,7632.6924,3329.67,2550.5098
40.713394,8.65946,896.76074,7079.332,2210.38,2555.3596
41.47917,6.901109,872.8753,6568.5103,1091.08,2281.6987
42.383686,6.901174,844.69073,6249.7944,3340.09,2263.3123
43.575546,8.299855,818.58563,6000.1226,4642.42,2526.9905
45.10036,9.587821,788.3504,5715.2935,3044.78,2352.5215
46.80643,10.057101,768.8715,5510.0703,2898.2,2340.0933
48.560284,8.59063,746.63477,5247.6753,5417.8,2038.5673
50.100872,7.7564173,729.958,5034.8154,7690.63,2321.96
51.740303,6.611694,714.6579,4845.2227,12092.0,2280.7546
53.505543,6.280864,698.4671,4641.7163,17274.0,2378.7583
55.2657,7.678433,684.84094,4424.429,15326.0,2449.7034
56.91658,7.677063,673.6569,4247.0684,17337.49,2049.4763
57.930202,7.683601,664.9097,3976.2527,11748.89,2084.7024
59.02288,7.745971,657.0027,3801.7,11748.89,2067.3928
23.467379,0.16600674,342.85712,1958.2521,800.54,3859.7131
23.534184,0.17295583,347.1629,1951.7617,784.21,3583.054
23.686508,0.17858244,347.56967,1928.6631,759.21,3496.3691
23.830215,0.17714685,347.515,1888.0339,733.49,3390.0254
