País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Cambodia,52.97,30.25,25.69,31.63,26.83,49.71,36.18
China,369.35,104.55,59.06,163.85,68.31,355.33,186.74
Indonesia,60.31,38.44,35.51,39.02,42.31,61.55,46.19
Laos,40.05,27.78,28.05,29.81,26.43,39.33,31.91
Malaysia,69.23,41.26,40.2,45.19,44.64,81.47,53.66
Myanmar,59.25,36.91,30.74,40.52,29.55,58.21,42.53
Papua New Guinea,32.2,26.88,26.03,25.74,25.98,31.89,28.12
Philippines,57.9,35.56,31.74,33.78,39.2,50.15,41.39
Samoa,38.56,37.46,38.17,46.18,37.5,60.55,43.07
Solomon Islands,36.89,26.0,25.95,30.14,25.49,38.38,30.48
Thailand,200.76,52.29,60.36,75.81,72.69,156.04,102.99
Vanuatu,46.03,28.68,28.22,32.51,28.42,47.02,35.15
Vietnam,95.48,58.52,47.69,59.11,51.43,93.68,67.65
Azerbaijan,72.98,51.1,49.93,54.18,45.89,72.03,57.68
Georgia,156.84,110.1,115.19,115.22,117.24,141.3,125.98
Kazakhstan,86.63,55.15,55.21,63.02,54.56,88.9,67.24
Kiribati,42.53,35.64,33.37,34.5,35.57,42.92,37.42
Kyrgyzstan,43.53,42.51,42.16,40.79,42.97,44.69,42.78
Mongolia,40.21,29.35,27.31,30.24,28.79,39.1,32.5
Sri Lanka,113.64,50.94,61.04,64.58,52.1,112.19,75.75
Tajikistan,83.3,38.99,37.3,39.15,37.4,46.63,47.13
East Timor,44.06,26.23,25.31,28.95,30.7,44.33,33.26
Turkmenistan,101.76,28.95,28.54,32.75,28.33,46.5,44.47
Armenia,244.78,78.88,56.08,82.48,55.66,130.37,108.04
Fiji,67.47,36.93,34.98,43.39,49.84,68.23,50.14
Albania,170.15,87.02,71.71,94.34,55.75,166.31,107.55
Czechia,212.34,162.31,170.72,157.32,188.49,213.48,184.11
Hungary,201.19,120.73,137.72,138.46,113.18,197.79,151.51
