País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Cambodia,48.80972782954263,44.751923269000415,41.633426666259766,30.13877599796653,27.297871499413183,47.94579439696284,40.09625327652423
China,397.8384192473316,309.282815820004,254.03662109375,150.57033255528154,171.12596992736604,320.4675480696771,267.22028445223503
Indonesia,59.54331612003887,54.343817487000464,52.54608154296875,37.41458825805745,31.95403635589424,59.81475636274829,49.26943268778468
Laos,39.88422260405929,36.11340583299991,34.05522918701172,29.811807390771612,27.60563155461942,38.74990526113721,34.37003363843319
Malaysia,77.42603778703558,62.794382841998825,65.83853149414062,44.81369625298298,43.65007681830885,85.08416013827132,63.26781422212303
Myanmar,58.9368392213103,54.29276204400093,54.547847747802734,39.12674463991574,38.12435293912074,55.775778805242076,50.134054232898755
Papua New Guinea,32.06393426096485,27.23355607599983,26.832717895507812,25.427642028756285,23.53734222413994,30.495408136814255,27.598433437030494
Philippines,48.18534097587224,42.314410446000146,47.454864501953125,32.882477023441425,30.280933756688935,45.351404142158536,41.0782384743524
Samoa,58.173986087801794,57.023097246000575,58.150150299072266,45.7681219735692,48.033755855610565,73.30028735502542,56.74156646951331
Solomon Islands,38.721482808386135,35.63493959399952,36.20811462402344,29.630717685975444,30.064780139138584,38.495682331333306,34.79261953047607
Thailand,121.3640403403212,108.96886599800006,140.1793670654297,75.7455062536466,62.93110367209647,147.74165278571778,109.48842268586863
Vanuatu,45.18483265782046,39.27785534600005,40.641014099121094,32.442438221731464,31.86072031426663,47.035217167026346,39.40701296766101
Azerbaijan,72.00732004573594,64.91155582199934,69.15353393554688,52.86158810839641,47.9686591975454,75.07223124060872,63.66248139163878
Georgia,123.50564594961568,126.45603074,125.23109436035156,112.1181234797417,113.46746036534,131.20410336127233,121.99707637605356
Kazakhstan,84.93955198181185,77.42257174799907,75.00139617919922,62.317766446859494,59.59201929166735,83.81771913287515,73.84850413006869
Kiribati,44.886155431846795,39.02735604399985,37.649051666259766,34.562176952434314,33.350610024988086,41.50175493598505,38.49618417591898
Kyrgyzstan,43.13306568562056,41.402244644999385,40.61289596557617,41.0424111705753,41.39262004156526,43.12446019019594,41.78461628308877
