Año,País,Nitratos
1992,Austria,27.586168
1993,Austria,26.506536
1994,Austria,26.761826
1995,Austria,29.362993
1996,Austria,30.037287
1997,Austria,29.80319
1998,Austria,28.465279
1999,Austria,25.758762
2000,Austria,25.135878
2001,Austria,24.695696
2002,Austria,25.653706
2003,Austria,25.714455
2004,Austria,25.871067
2005,Austria,25.449726
2006,Austria,25.992874
2007,Austria,24.561562
2008,Austria,23.879822
2009,Austria,24.591467
2010,Austria,26.027163
2011,Austria,26.06615
2012,Austria,18.846428
2013,Austria,18.761406
2014,Austria,18.336588
2015,Austria,17.728554
2016,Austria,17.331692
2017,Austria,17.950182
2018,Austria,17.225132
2019,Austria,16.981176
2020,Austria,16.568213
2021,Austria,17.165812
1992,Belgium,30.454079
1993,Belgium,33.701275
1994,Belgium,33.6331
1995,Belgium,33.10091
1996,Belgium,32.67837
1997,Belgium,32.062347
1998,Belgium,32.611946
1999,Belgium,34.63908
2000,Belgium,35.05049
2001,Belgium,34.085316
2002,Belgium,35.5995
2003,Belgium,34.370384
2004,Belgium,29.862583
2005,Belgium,29.972357
2006,Belgium,27.714483
2007,Belgium,5.765525
2008,Belgium,4.9398637
2009,Belgium,3.4807608
2010,Belgium,4.743587
2011,Belgium,4.504449
2012,Belgium,1.9158437
2013,Belgium,2.1070938
2014,Belgium,0.5433875
2015,Belgium,0.5433875
2016,Belgium,23.320232
2017,Belgium,24.26479
2018,Belgium,24.26479
2019,Belgium,23.334774
2020,Belgium,23.94404
2021,Belgium,22.532742
1992,Bosnia and Herzegovina,21.449795
1993,Bosnia and Herzegovina,23.98764
1994,Bosnia and Herzegovina,22.92093
1995,Bosnia and Herzegovina,23.720882
1996,Bosnia and Herzegovina,20.727823
1997,Bosnia and Herzegovina,20.262665
1998,Bosnia and Herzegovina,22.188938
1999,Bosnia and Herzegovina,22.85614
2000,Bosnia and Herzegovina,25.573498
2001,Bosnia and Herzegovina,28.749996
2002,Bosnia and Herzegovina,29.0171
2003,Bosnia and Herzegovina,29.277983
2004,Bosnia and Herzegovina,27.087591
2005,Bosnia and Herzegovina,26.956892
2006,Bosnia and Herzegovina,29.339268
2007,Bosnia and Herzegovina,29.339268
2008,Bosnia and Herzegovina,1.8709317
2009,Bosnia and Herzegovina,1.8709317
2010,Bosnia and Herzegovina,1.8045416
2011,Bosnia and Herzegovina,1.8954331
2012,Bosnia and Herzegovina,8.01951
2013,Bosnia and Herzegovina,8.01951
2014,Bosnia and Herzegovina,11.1116
2015,Bosnia and Herzegovina,11.1116
2016,Bosnia and Herzegovina,10.131062
2017,Bosnia and Herzegovina,10.131062
2018,Bosnia and Herzegovina,8.573149
2019,Bosnia and Herzegovina,8.187283
2020,Bosnia and Herzegovina,2.9666667
2021,Bosnia and Herzegovina,14.736399
1992,Bulgaria,10.676307
1993,Bulgaria,7.7595954
1994,Bulgaria,12.409845
1995,Bulgaria,10.805776
1996,Bulgaria,13.72267
1997,Bulgaria,15.182738
1998,Bulgaria,19.285158
1999,Bulgaria,19.779142
2000,Bulgaria,29.983284
2001,Bulgaria,33.712063
2002,Bulgaria,30.181383
2003,Bulgaria,33.00274
2004,Bulgaria,43.42447
2005,Bulgaria,64.54851
2006,Bulgaria,65.077835
2007,Bulgaria,78.69874
2008,Bulgaria,32.351673
2009,Bulgaria,33.861702
2010,Bulgaria,38.706764
2011,Bulgaria,14.585076
2012,Bulgaria,14.585076
2013,Bulgaria,16.831776
2014,Bulgaria,16.831776
2015,Bulgaria,15.748696
2016,Bulgaria,14.983411
2017,Bulgaria,15.3207245
2018,Bulgaria,14.898605
2019,Bulgaria,15.325146
2020,Bulgaria,18.708954
2021,Bulgaria,19.061707
1992,Croatia,17.56665
1993,Croatia,17.600723
1994,Croatia,19.557306
1995,Croatia,19.729862
1996,Croatia,18.208483
1997,Croatia,18.92966
1998,Croatia,19.57631
1999,Croatia,19.07756
2000,Croatia,19.112911
2001,Croatia,19.162394
2002,Croatia,18.714485
2003,Croatia,18.145401
2004,Croatia,18.734806
2005,Croatia,18.660934
2006,Croatia,23.715437
2007,Croatia,23.667942
2008,Croatia,23.213833
2009,Croatia,24.006485
2010,Croatia,23.163532
2011,Croatia,22.929514
2012,Croatia,23.823137
2013,Croatia,23.701263
2014,Croatia,22.871023
2015,Croatia,22.850216
2016,Croatia,21.773857
2017,Croatia,21.32614
2018,Croatia,24.521715
2019,Croatia,24.796011
2020,Croatia,23.824657
2021,Croatia,24.214876
1992,Cyprus,23.783922
1993,Cyprus,23.61478
1994,Cyprus,23.923283
1995,Cyprus,25.237684
1996,Cyprus,24.874332
1997,Cyprus,24.869242
1998,Cyprus,24.618742
1999,Cyprus,25.348692
2000,Cyprus,23.159925
2001,Cyprus,22.491682
2002,Cyprus,23.166117
2003,Cyprus,22.686375
2004,Cyprus,19.957659
2005,Cyprus,20.05393
2006,Cyprus,6.36387
2007,Cyprus,4.131675
2008,Cyprus,3.1636758
2009,Cyprus,2.9743261
2010,Cyprus,2.9479432
2011,Cyprus,3.6964705
2012,Cyprus,4.530859
2013,Cyprus,6.63775
2014,Cyprus,7.2665
2015,Cyprus,5.054369
2016,Cyprus,4.7003994
2017,Cyprus,4.459807
2018,Cyprus,4.86844
2019,Cyprus,6.277342
2020,Cyprus,4.805105
2021,Cyprus,5.97122
1992,Czechia,8.09096
1993,Czechia,7.2548356
1994,Czechia,8.145075
1995,Czechia,7.585634
1996,Czechia,7.122982
1997,Czechia,6.788534
1998,Czechia,6.3889084
1999,Czechia,7.373879
2000,Czechia,7.329857
2001,Czechia,7.584157
2002,Czechia,7.4654922
2003,Czechia,8.811313
2004,Czechia,11.156332
2005,Czechia,11.262901
2006,Czechia,21.433516
2007,Czechia,21.096222
2008,Czechia,21.08494
2009,Czechia,22.01453
2010,Czechia,23.138468
2011,Czechia,23.273115
2012,Czechia,23.018824
2013,Czechia,22.687735
2014,Czechia,22.426378
2015,Czechia,22.412134
2016,Czechia,21.584595
2017,Czechia,20.038532
2018,Czechia,21.390268
2019,Czechia,20.844854
2020,Czechia,20.570066
2021,Czechia,19.763266
1992,Denmark,19.289946
1993,Denmark,18.880733
1994,Denmark,19.518904
1995,Denmark,18.792885
1996,Denmark,25.59715
1997,Denmark,26.72696
1998,Denmark,29.850328
1999,Denmark,29.951914
2000,Denmark,28.523396
2001,Denmark,26.953081
2002,Denmark,26.701994
2003,Denmark,26.874868
2004,Denmark,30.588234
