País,Año,Precipitación (mm)
Afghanistan,1940,217.67816
Afghanistan,1941,1388.5201
Afghanistan,1942,45.775917
Afghanistan,1943,2582.8018
Afghanistan,1944,899.67535
Afghanistan,1945,967.9678
Afghanistan,1946,1280.9163
Afghanistan,1947,1374.179
Afghanistan,1948,999.1098
Afghanistan,1949,811.2998
Afghanistan,1950,381.20828
Afghanistan,1951,1022.2998
Afghanistan,1952,547.62427
Afghanistan,1953,882.58673
Afghanistan,1954,21.79718
Afghanistan,1955,1861.5837
Afghanistan,1956,639.97107
Afghanistan,1957,759.1598
Afghanistan,1958,1451.7432
Afghanistan,1959,859.8124
Afghanistan,1960,2336.7214
Afghanistan,1961,1708.9177
Afghanistan,1962,1246.9668
Afghanistan,1963,404.67224
Afghanistan,1964,1672.0457
Afghanistan,1965,2319.0574
Afghanistan,1966,868.61163
Afghanistan,1967,466.92
Afghanistan,1968,2122.3337
Afghanistan,1969,163.77713
Afghanistan,1970,1997.9248
Afghanistan,1971,1639.9436
Afghanistan,1972,542.2245
Afghanistan,1973,655.2792
Afghanistan,1974,1367.6301
Afghanistan,1975,203.81383
Afghanistan,1976,1452.9165
Afghanistan,1977,782.49615
Afghanistan,1978,2946.4204
Afghanistan,1979,1246.3353
Afghanistan,1980,1807.8413
Afghanistan,1981,1480.0146
Afghanistan,1982,1705.5854
Afghanistan,1983,2764.7869
Afghanistan,1984,998.7528
Afghanistan,1985,914.8126
Afghanistan,1986,447.036
Afghanistan,1987,721.04395
Afghanistan,1988,1152.321
Afghanistan,1989,642.58264
Afghanistan,1990,388.82376
Afghanistan,1991,1347.3348
Afghanistan,1992,1947.3735
Afghanistan,1993,11.032268
Afghanistan,1994,1194.4708
Afghanistan,1995,2625.653
Afghanistan,1996,443.94632
Afghanistan,1997,620.32544
Afghanistan,1998,1251.1276
Afghanistan,1999,618.2585
Afghanistan,2000,899.56116
Afghanistan,2001,3008.393
Afghanistan,2002,583.44257
Afghanistan,2003,924.4848
Afghanistan,2004,1821.5249
Afghanistan,2005,1698.832
Afghanistan,2006,788.46454
Afghanistan,2007,1225.49
Afghanistan,2008,776.32135
Afghanistan,2009,991.1698
Afghanistan,2010,963.8924
Afghanistan,2011,413.2696
Afghanistan,2012,1624.44
Afghanistan,2013,1648.1864
Afghanistan,2014,1314.4965
Afghanistan,2015,1479.0273
Afghanistan,2016,1102.9177
Afghanistan,2017,1322.5803
