País,Variable_Independiente,Valor_Variable,Parkinson_Predicho
Cambodia,Contaminacion_aire,2.579782,55.83366280903894
Cambodia,Exp_plomo,665.6298,55.83366280903894
Cambodia,Muertes_agua,793.3348,55.83366280903894
Cambodia,Pepticidas,35263.94,55.83366280903894
Cambodia,Precipitaciones,1121.2478,55.83366280903894
Cambodia,Muertes_agua_2,629380.10489104,55.83366280903894
Cambodia,Exp_plomo_2,443063.03064804006,55.83366280903894
Cambodia,Pepticidas_log,5.556905278795441,55.83366280903894
China,Contaminacion_aire,7.1866364,
China,Exp_plomo,458.91144,
China,Muertes_agua,2380.8706,
China,Pepticidas,60687.0,
China,Precipitaciones,24.7504,
China,Muertes_agua_2,5668544.813944361,
China,Exp_plomo_2,210599.70976287362,
China,Pepticidas_log,6.483107351457199,
Indonesia,Contaminacion_aire,2.9778376,
Indonesia,Exp_plomo,639.6052,
Indonesia,Muertes_agua,33702.586,
Indonesia,Pepticidas,6847.16,
Indonesia,Precipitaciones,618.2539,
Indonesia,Muertes_agua_2,1135864303.0873961,
Indonesia,Exp_plomo_2,409094.81186703994,
Indonesia,Pepticidas_log,6.302618975744905,
Laos,Contaminacion_aire,4.1519833,
Laos,Exp_plomo,852.68396,
Laos,Muertes_agua,571.4787,
Laos,Pepticidas,22.31,
Laos,Precipitaciones,1058.6294,
Laos,Muertes_agua_2,326587.90455369,
Laos,Exp_plomo_2,727069.9356412815,
Laos,Pepticidas_log,6.5337888379333435,
Malaysia,Contaminacion_aire,2.090159,
Malaysia,Exp_plomo,301.38852,
Malaysia,Muertes_agua,532.3118,
Malaysia,Pepticidas,745.6,
Malaysia,Precipitaciones,3685.5916,
Malaysia,Muertes_agua_2,283355.85241923993,
Malaysia,Exp_plomo_2,90835.03998779041,
Malaysia,Pepticidas_log,7.692670007995184,
Myanmar,Contaminacion_aire,7.745971,
Myanmar,Exp_plomo,657.0027,
Myanmar,Muertes_agua,3801.7,
Myanmar,Pepticidas,12365.82,
Myanmar,Precipitaciones,1963.774,
Myanmar,Muertes_agua_2,14452922.889999999,
Myanmar,Exp_plomo_2,431652.54780729,
Myanmar,Pepticidas_log,7.716340525683089,
Papua New Guinea,Contaminacion_aire,0.07248331,
Papua New Guinea,Exp_plomo,296.9616,
Papua New Guinea,Muertes_agua,2231.326,
Papua New Guinea,Pepticidas,366.93,
Papua New Guinea,Precipitaciones,1167.8141,
Papua New Guinea,Muertes_agua_2,4978815.718276,
Papua New Guinea,Exp_plomo_2,88186.19187455998,
Papua New Guinea,Pepticidas_log,7.834463559279005,
Philippines,Contaminacion_aire,0.17099167,
Philippines,Exp_plomo,423.95337,
Philippines,Muertes_agua,4750.216,
Philippines,Pepticidas,21811.0,
Philippines,Precipitaciones,2963.9946,
Philippines,Muertes_agua_2,22564552.046656005,
Philippines,Exp_plomo_2,179736.4599343569,
Philippines,Pepticidas_log,7.7211978920403155,
Samoa,Contaminacion_aire,1.6399639,
Samoa,Exp_plomo,236.4416,
Samoa,Muertes_agua,4.2251472,
Samoa,Pepticidas,261.39,
Samoa,Precipitaciones,29.401752,
Samoa,Muertes_agua_2,17.851868861667842,
Samoa,Exp_plomo_2,55904.63021056,
Samoa,Pepticidas_log,7.920773367808722,
Solomon Islands,Contaminacion_aire,0.023011552,
Solomon Islands,Exp_plomo,672.9419,
Solomon Islands,Muertes_agua,48.00437,
Solomon Islands,Pepticidas,148160.94,
Solomon Islands,Precipitaciones,1351.979,
Solomon Islands,Muertes_agua_2,2304.4195390969003,
Solomon Islands,Exp_plomo_2,452850.80077561,
Solomon Islands,Pepticidas_log,7.944807716976939,
Thailand,Contaminacion_aire,2.0694382,
Thailand,Exp_plomo,128.7159,
Thailand,Muertes_agua,4700.6655,
Thailand,Pepticidas,1.83,
Thailand,Precipitaciones,2187.1414,
Thailand,Muertes_agua_2,22096256.142890252,
Thailand,Exp_plomo_2,16567.782912810002,
Thailand,Pepticidas_log,7.8616500332536585,
Vanuatu,Contaminacion_aire,0.5430955,
Vanuatu,Exp_plomo,545.57825,
Vanuatu,Muertes_agua,26.11893,
Vanuatu,Pepticidas,1080.0,
Vanuatu,Precipitaciones,1142.9324,
Vanuatu,Muertes_agua_2,682.1985043448999,
Vanuatu,Exp_plomo_2,297655.6268730625,
Vanuatu,Pepticidas_log,7.749412977805297,
Azerbaijan,Contaminacion_aire,1.7794031,
Azerbaijan,Exp_plomo,353.49854,
Azerbaijan,Muertes_agua,98.64873,
Azerbaijan,Pepticidas,252.46,
Azerbaijan,Precipitaciones,1744.063,
Azerbaijan,Muertes_agua_2,9731.5719306129,
Azerbaijan,Exp_plomo_2,124961.2177821316,
Azerbaijan,Pepticidas_log,8.152313249786781,
Georgia,Contaminacion_aire,1.3108445,
Georgia,Exp_plomo,499.3634,
Georgia,Muertes_agua,2.9770522,
Georgia,Pepticidas,11.26,
Georgia,Precipitaciones,2331.577,
Georgia,Muertes_agua_2,8.86283980152484,
Georgia,Exp_plomo_2,249363.80525956,
Georgia,Pepticidas_log,8.285324183783668,
Kazakhstan,Contaminacion_aire,3.7545853,
Kazakhstan,Exp_plomo,232.45064,
Kazakhstan,Muertes_agua,20.90864,
Kazakhstan,Pepticidas,312.9,
Kazakhstan,Precipitaciones,1848.2725,
Kazakhstan,Muertes_agua_2,437.17122664959993,
Kazakhstan,Exp_plomo_2,54033.30003640959,
Kazakhstan,Pepticidas_log,8.296980341398603,
Kiribati,Contaminacion_aire,6.2221065,
Kiribati,Exp_plomo,311.93912,
Kiribati,Muertes_agua,27.562164,
Kiribati,Pepticidas,43.8,
Kiribati,Precipitaciones,607.28046,
Kiribati,Muertes_agua_2,759.672884362896,
Kiribati,Exp_plomo_2,97306.0145863744,
Kiribati,Pepticidas_log,8.420054340611824,
Kyrgyzstan,Contaminacion_aire,4.2210145,
Kyrgyzstan,Exp_plomo,401.83533,
Kyrgyzstan,Muertes_agua,33.46524,
Kyrgyzstan,Pepticidas,53283.82,
Kyrgyzstan,Precipitaciones,1111.1531,
Kyrgyzstan,Muertes_agua_2,1119.9222882576,
Kyrgyzstan,Exp_plomo_2,161471.6324362089,
Kyrgyzstan,Pepticidas_log,8.608960739869339,
Mongolia,Contaminacion_aire,1.487863,
Mongolia,Exp_plomo,421.39554,
Mongolia,Muertes_agua,16.173885,
Mongolia,Pepticidas,4642.42,
Mongolia,Precipitaciones,1602.1592,
Mongolia,Muertes_agua_2,261.59455599322496,
Mongolia,Exp_plomo_2,177574.20113189158,
Mongolia,Pepticidas_log,8.672338804704442,
Sri Lanka,Contaminacion_aire,3.6152382,
Sri Lanka,Exp_plomo,184.13957,
Sri Lanka,Muertes_agua,536.10913,
Sri Lanka,Pepticidas,20.0,
Sri Lanka,Precipitaciones,1269.9395,
Sri Lanka,Muertes_agua_2,287412.99926935695,
Sri Lanka,Exp_plomo_2,33907.381239784896,
Sri Lanka,Pepticidas_log,8.483040573743368,
Tajikistan,Contaminacion_aire,3.8829222,
Tajikistan,Exp_plomo,559.98724,
Tajikistan,Muertes_agua,764.55536,
