País,Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pepticidas,Precipitaciones
Cambodia,21.53383,0.77022773,799.84644,5680.9985,258.02,1951.199
Cambodia,21.48384,0.86702055,798.6469,5618.92,653.0,904.0582
Cambodia,21.502138,0.87611383,799.89874,5418.905,545.0,1474.9012
Cambodia,21.607151,0.99248445,804.59204,5273.5493,687.0,640.35815
Cambodia,21.767658,0.902714,812.1032,5176.5522,2191.22,977.33185
Cambodia,22.016382,0.8994101,817.5987,4889.2725,2243.73,787.11847
Cambodia,22.383688,0.8674838,816.6148,4570.028,2525.18,412.98682
Cambodia,22.857458,1.1061009,815.52826,4326.322,2254.66,1899.8097
Cambodia,23.41401,0.9010534,814.1303,4125.472,2752.9,1919.3091
Cambodia,23.947977,0.85789394,810.72375,3899.097,2819.89,1669.4517
Cambodia,24.461973,0.5316728,803.25793,3568.262,2594.8,1887.6984
Cambodia,25.026402,0.8145164,793.5984,3266.293,2319.21,848.62946
Cambodia,25.677876,0.9644658,783.117,2961.5664,3470.4,1103.1304
Cambodia,26.428164,1.5588273,770.69336,2670.677,3964.25,1705.1779
Cambodia,27.198654,1.6391237,761.49274,2438.2175,4010.74,1332.876
Cambodia,28.005146,1.4771051,751.4277,2213.4094,4536.15,525.497
Cambodia,28.907904,1.6010132,740.35645,1993.2618,5479.55,1801.2318
Cambodia,29.937584,1.7166791,737.1919,1824.1926,5838.14,1432.6392
Cambodia,31.09144,1.9072474,731.6757,1669.0952,4831.12,2578.161
Cambodia,32.23511,1.5927873,728.2311,1530.6344,7068.63,476.38123
Cambodia,33.365974,2.1742623,724.0995,1422.5414,7321.6,239.22247
Cambodia,34.58349,2.9999108,717.8718,1327.7664,8194.82,866.46124
Cambodia,35.95892,3.4833095,712.7719,1229.0643,10660.8,873.1518
Cambodia,37.472374,3.0435073,708.99207,1117.1188,9905.76,365.01468
Cambodia,38.85228,2.4295483,702.5785,1053.1161,9905.76,939.2859
Cambodia,40.044525,2.373874,697.62415,1002.1076,29568.0,1143.2616
Cambodia,41.057487,2.062252,693.83386,956.1784,29477.5,1859.33
Cambodia,42.02441,1.7326448,688.8192,915.44196,29387.0,120.81343
Cambodia,43.06768,2.466941,683.0668,879.80164,29296.5,336.24896
Cambodia,44.034317,2.4923408,675.76624,843.52814,29206.0,1366.5256
Cambodia,47.252697,2.5327082,670.528,820.1172,32234.97,1589.5061
China,55.40639,22.586,762.5264,65670.25,250631.62,2344.7358
China,60.828335,22.023537,760.52686,61216.543,249212.9,921.0697
China,66.293106,22.717243,752.31744,53982.203,258217.78,1045.9375
China,71.67633,22.597715,741.17883,47634.64,260473.58,1602.7307
China,76.98471,23.351929,729.62585,42164.266,271520.94,1070.4852
China,82.03597,23.186565,722.7341,36882.934,284981.4,529.4288
China,87.105034,23.060183,711.58905,32026.355,299316.28,1551.9918
China,92.33811,23.488817,696.7202,27844.885,315919.84,1362.3805
China,97.70232,22.389992,691.7975,24331.496,324563.88,3209.5889
China,103.4383,22.78122,689.4321,21381.893,331298.47,259.4156
China,109.202934,21.86497,694.38477,18877.646,339849.78,172.42801
China,115.28333,21.75351,692.6534,15936.762,345719.28,929.2396
China,121.63635,20.604284,690.896,13327.627,350468.62,836.59174
China,128.2935,20.96693,696.9975,11711.932,351036.72,210.6629
China,135.63562,21.504007,698.24115,10304.71,349219.94,897.275
China,143.41455,20.585382,678.6355,8871.375,346087.2,977.911
China,152.73778,19.875765,633.0275,7567.688,338311.72,1812.1934
China,163.53352,19.300797,612.37225,6423.184,323252.75,66.77333
China,175.06761,19.596046,609.26843,5545.657,294682.44,305.90366
China,187.28516,17.805307,606.3383,4855.625,273569.5,744.3085
China,199.11142,16.705936,601.3276,4238.802,258757.94,507.21072
China,211.2896,14.636001,589.809,3771.1328,244869.48,1292.334
China,223.80592,12.300146,571.6587,3520.0066,235760.34,1784.554
China,236.45451,10.346161,558.70703,3309.209,18058.29,803.08844
China,249.95717,9.215271,541.96216,3108.9485,16817.0,115.56981
China,263.1802,9.260266,524.87964,3094.8682,15305.94,761.69226
China,277.25363,10.034492,515.3506,3119.0173,14961.81,1835.6816
China,291.7935,10.195702,501.05368,2901.0188,17051.34,761.2685
China,306.7123,8.204449,487.70862,2701.0378,20156.23,623.3832
China,322.93567,7.8235164,476.23865,2535.1973,18080.62,1230.3237
China,340.22665,7.473822,468.11768,2493.1816,16005.0,2156.3362
Indonesia,26.897917,0.64123154,709.3223,150864.86,2268.1,237.25197
Indonesia,27.46658,0.7024512,716.95044,137079.28,2529.2,912.772
Indonesia,28.132034,0.72430617,723.5445,125150.375,3713.76,1034.689
Indonesia,28.814333,1.0697365,731.0189,114995.84,2801.78,172.9446
Indonesia,29.494959,0.996328,734.60675,105450.766,2913.01,1233.7593
Indonesia,30.163353,0.9322982,735.6144,96960.53,3353.14,824.44183
Indonesia,30.87023,1.1579056,738.5349,89109.32,3503.61,2039.5184
Indonesia,31.679304,1.4168825,743.80536,82776.836,3112.53,60.14048
Indonesia,32.51279,1.5112525,751.6886,78696.86,2942.02,318.27646
Indonesia,33.32383,1.0285596,759.78406,74769.25,2651.36,706.2092
Indonesia,34.06946,0.84551597,767.3755,70834.766,2971.77,1185.0739
Indonesia,34.851814,0.7899211,768.6713,67343.46,2909.82,1131.947
Indonesia,35.6704,0.67548376,779.37683,64392.75,3090.94,1269.4896
Indonesia,36.48523,0.95894635,786.9745,61679.996,2715.82,981.18365
Indonesia,37.246883,1.0291548,791.4671,59266.773,2491.0,184.09709
Indonesia,37.930542,1.8951619,795.5933,56975.117,2491.0,852.0926
Indonesia,38.672077,2.1703968,794.5155,54581.32,2491.0,2061.2944
Indonesia,39.370304,2.2481654,791.1622,52533.18,2491.0,664.2076
Indonesia,40.071106,1.9296296,790.32007,50516.33,2491.0,613.75604
Indonesia,40.779472,1.4688904,781.79846,48270.895,2491.0,1290.0118
Indonesia,41.511074,1.8135537,775.4017,46048.395,2491.0,2331.386
Indonesia,42.52225,2.2964933,761.82214,43984.94,2491.0,54.697887
Indonesia,43.673267,2.6328077,750.63934,41886.36,2491.0,641.66003
Indonesia,44.969078,3.0451932,740.3777,40192.367,2975.02,628.2164
Indonesia,46.32401,3.02888,724.84033,38737.848,3459.04,1440.4479
Indonesia,47.64689,2.858155,715.8271,37420.53,3943.05,1419.6245
Indonesia,49.06236,2.1259458,702.81354,36179.344,4427.07,2560.582
Indonesia,50.525402,1.3330256,689.82214,35621.766,4911.09,303.3244
Indonesia,52.11894,2.6046867,676.1732,35045.31,5395.11,79.454865
Indonesia,53.84887,2.720699,666.16284,34507.438,5879.13,1087.9102
Indonesia,57.167515,2.8528266,651.6272,34180.29,6363.14,841.2484
Laos,26.328701,2.365732,1344.2606,5033.5713,1816.0,3330.5034
Laos,26.38307,2.6063435,1340.4271,4850.1772,1816.0,274.0535
Laos,26.397806,2.7402275,1336.9688,4675.5737,1816.0,780.85626
Laos,26.381077,2.7991276,1331.7433,4714.3486,1816.0,903.0667
Laos,26.3832,2.7229588,1324.5206,4734.2373,1816.0,660.67834
Laos,26.466452,2.7647884,1316.0442,4241.8623,1816.0,1042.6921
Laos,26.515224,2.9867513,1305.5754,4087.8076,1816.0,2222.423
Laos,26.587341,3.716671,1296.8927,3897.2842,1816.0,717.2837
Laos,26.657393,3.7073157,1288.2931,3715.145,5.47,1208.9622
Laos,26.72375,2.9301028,1274.0674,3512.9084,5.47,1720.6776
Laos,26.792753,1.7902802,1253.4204,3315.9067,5.47,2341.2449
Laos,26.79715,1.7866923,1242.7467,3007.3826,5.47,611.20966
Laos,26.826283,2.307212,1211.8435,2774.2559,5.47,1138.6963
Laos,26.906763,3.5642018,1191.3531,2516.011,5.47,911.213
Laos,27.061966,3.7854671,1169.2393,2298.613,5.47,1310.5448
Laos,27.36545,3.4054666,1149.0934,2095.5579,5.47,711.2961
Laos,27.830812,2.8637443,1126.5211,1897.1671,4.58,475.57477
Laos,28.437344,3.146086,1101.8353,1703.5426,2.78,2062.5269
Laos,29.099823,3.3408802,1079.5112,1598.9005,6.65,1842.6908
Laos,29.774658,3.2256722,1053.7872,1446.1034,8.92,1285.2013
Laos,30.441725,3.854937,1024.085,1310.3242,29.04,1932.1991
Laos,31.078142,4.5743566,993.9014,1184.2286,26.74,972.12524
Laos,31.793522,5.0363083,973.7493,1098.6268,29.05,1244.5964
Laos,32.544056,4.6840515,963.01874,1013.8044,14.56,1604.4282
Laos,33.28728,4.0943413,948.927,930.232,20.09,1719.2712
Laos,34.085094,4.29418,936.0204,864.6857,22.21,676.807
Laos,34.862366,3.632241,923.5625,798.7962,19.13,1400.32
Laos,35.720078,3.5225546,909.0186,736.00757,13.89,1084.9587
Laos,36.613396,4.0509863,894.1383,693.49646,7.15,3504.0469
Laos,37.500477,4.081207,880.2692,653.84564,14.39,282.80786
Laos,39.405903,4.1264,866.9517,597.88763,15.12,202.61543
Malaysia,32.92164,1.0283118,414.99908,596.16266,24.75,1880.0985
Malaysia,33.074394,0.87760395,404.75372,550.5953,17.03,1724.816
Malaysia,33.16026,0.9865626,401.83377,560.40845,15.59,1849.796
Malaysia,33.260418,1.134504,401.69504,552.9143,20.4,124.65861
Malaysia,33.371483,1.2159214,398.112,523.6304,22.46,1292.2877
Malaysia,33.452854,1.1330174,413.09412,526.82794,24.52,626.1269
Malaysia,33.69965,1.5717134,406.8292,482.6546,26.58,1156.5958
Malaysia,33.984894,1.918007,406.31213,467.09036,24.52,53.9982
Malaysia,34.40158,2.1832724,405.46362,448.7169,24.32,451.5556
Malaysia,34.83557,1.4988177,443.9365,432.57724,50.24,3453.1848
Malaysia,35.29297,1.1315686,411.12686,392.13602,56.0,3821.437
Malaysia,36.12633,1.1030812,398.9264,371.78815,54.45,1321.4387
Malaysia,37.073433,1.0574609,391.242,352.65002,33.47,2205.8503
Malaysia,38.169086,1.5753765,397.33682,337.05707,39.34,2713.1357
Malaysia,39.339672,1.7815682,389.00345,343.1314,46.2,786.0504
Malaysia,40.499752,2.146927,378.61462,355.68692,46.57,786.1439
Malaysia,41.96203,1.8632778,367.13135,363.3905,61.65,1162.3203
Malaysia,43.55034,1.5225623,359.7866,374.67343,76.33,77.62425
Malaysia,45.324257,1.1550635,364.11176,389.10864,161.9,891.4682
Malaysia,47.149513,0.889633,365.21732,400.7761,236.3,604.69446
Malaysia,48.840588,1.08346,360.1958,403.3572,290.73,1859.1907
Malaysia,50.83479,1.3473033,349.23636,415.72565,288.31,174.89815
Malaysia,52.960537,1.5838493,332.31705,420.4826,293.91,1425.6001
Malaysia,55.386528,1.7701384,324.05865,425.61972,333.76,3135.4492
Malaysia,57.910053,1.9329093,321.94965,440.44986,381.08,64.15549
Malaysia,60.137627,1.8879019,331.63437,460.06174,393.89,621.39514
Malaysia,62.478493,1.372596,325.3273,471.49762,376.88,721.2388
Malaysia,64.62519,0.8426958,322.53094,491.56723,420.98,1349.1124
Malaysia,66.904434,1.7439886,317.5519,499.0594,443.03,2636.7363
Malaysia,69.28924,1.8528577,310.1206,511.16586,889.0,809.8206
Malaysia,72.75403,1.677629,279.7523,463.2117,817.3,1168.2705
Myanmar,27.827261,5.1452107,1073.2474,28303.3,159762.31,352.79886
Myanmar,28.330503,5.8578973,1082.6647,27332.744,164528.86,1104.6388
Myanmar,28.89265,6.386992,1087.3197,25947.084,161844.92,56.390423
Myanmar,29.50749,6.787681,1090.0975,24450.836,171934.75,2210.2021
Myanmar,30.17822,6.817379,1089.8822,22801.326,180014.2,845.1414
Myanmar,30.830313,6.8124933,1088.2563,21133.555,190750.92,1216.9558
Myanmar,31.612213,6.8780403,1084.7726,19661.268,199737.94,720.67163
Myanmar,32.532356,6.952255,1079.4305,18277.572,204426.8,831.9111
Myanmar,33.500225,7.1591516,1071.7537,16907.086,201932.06,840.84906
Myanmar,34.44076,6.93326,1061.8737,15547.52,200294.7,880.93286
Myanmar,35.170593,6.0783625,1051.834,14251.477,9729.0,481.63162
Myanmar,35.830845,5.51718,1038.8854,12647.378,9338.0,1148.168
Myanmar,36.499226,5.863599,1025.0376,11259.284,9030.0,665.6708
Myanmar,37.17473,6.77803,1009.95886,10038.005,10505.0,920.9031
Myanmar,37.886063,7.0148544,998.4377,9568.459,8646.0,77.96669
Myanmar,38.520176,6.659391,975.07153,8975.809,10213.0,2941.3948
Myanmar,39.24258,7.473476,953.23456,8296.933,8923.0,780.37256
Myanmar,40.03222,8.571257,923.6933,7632.6924,8812.0,947.67957
Myanmar,40.713394,8.65946,896.76074,7079.332,10579.0,1706.1716
Myanmar,41.47917,6.901109,872.8753,6568.5103,9682.0,1121.7175
Myanmar,42.383686,6.901174,844.69073,6249.7944,11382.84,3482.2056
Myanmar,43.575546,8.299855,818.58563,6000.1226,9424.73,1491.0593
Myanmar,45.10036,9.587821,788.3504,5715.2935,9700.44,1093.8665
Myanmar,46.80643,10.057101,768.8715,5510.0703,9550.04,460.23483
Myanmar,48.560284,8.59063,746.63477,5247.6753,10655.4,1774.4241
Myanmar,50.100872,7.7564173,729.958,5034.8154,10703.85,2710.97
Myanmar,51.740303,6.611694,714.6579,4845.2227,10461.35,622.84576
Myanmar,53.505543,6.280864,698.4671,4641.7163,12073.15,540.27985
Myanmar,55.2657,7.678433,684.84094,4424.429,10777.08,1789.4999
Myanmar,56.91658,7.677063,673.6569,4247.0684,9857.2,112.82022
Myanmar,57.930202,7.683601,664.9097,3976.2527,9586.03,1765.2129
Papua New Guinea,23.467379,0.16600674,342.85712,1958.2521,9824.0,2994.9954
Papua New Guinea,23.534184,0.17295583,347.1629,1951.7617,9501.0,1373.0908
Papua New Guinea,23.686508,0.17858244,347.56967,1928.6631,8699.0,1395.9077
Papua New Guinea,23.830215,0.17714685,347.515,1888.0339,8466.0,405.23724
Papua New Guinea,23.952885,0.14843602,346.26282,1837.6212,8848.0,1868.744
Papua New Guinea,24.043951,0.14014554,346.51166,1796.9218,8855.0,3139.7117
Papua New Guinea,23.984276,0.36370552,349.37186,1782.9331,10358.0,815.1433
Papua New Guinea,24.09828,0.34210244,348.43973,1757.2864,7184.0,718.3905
Papua New Guinea,24.213818,0.30760452,348.90213,1806.7633,8726.0,1627.3671
Papua New Guinea,24.320831,0.09813518,349.47888,1821.3549,16039.0,283.68753
Papua New Guinea,24.412462,0.050293606,350.90744,1838.115,17101.0,2142.4858
Papua New Guinea,24.387966,0.049772095,352.26508,1825.3188,18721.0,2003.8579
Papua New Guinea,24.631844,0.05018384,353.26193,1824.4891,20611.02,705.86633
Papua New Guinea,24.888739,0.08567663,352.2053,1790.0522,18493.03,1168.9644
Papua New Guinea,25.08081,0.08634441,350.94525,1807.2303,19449.02,1488.9517
Papua New Guinea,25.1353,0.09043719,352.8793,1875.4187,21779.27,423.97488
Papua New Guinea,24.869944,0.15437785,354.08487,1923.0583,21885.99,1312.3798
Papua New Guinea,24.70455,0.1818733,351.61295,1974.5415,22191.79,854.09247
Papua New Guinea,24.51199,0.20100994,346.92505,2017.6708,23550.58,3560.4956
Papua New Guinea,24.36585,0.17130509,339.3002,2143.1326,23996.1,1107.4542
Papua New Guinea,24.355555,0.11924591,338.84,2210.172,24452.66,1836.5525
Papua New Guinea,24.558578,0.0858259,337.75925,2191.777,25073.56,1824.558
Papua New Guinea,25.20344,0.07459747,333.53772,2238.7944,23156.57,2181.4326
Papua New Guinea,25.953684,0.0804948,326.7185,2266.9355,24253.22,3927.8167
Papua New Guinea,26.64541,0.14981344,322.37878,2285.8574,24616.37,1199.7496
Papua New Guinea,27.124037,0.115570284,319.92633,2284.5874,26949.22,1031.4878
Papua New Guinea,27.404585,0.12662508,313.61334,2300.0183,22299.95,244.35149
Papua New Guinea,27.788687,0.0039036481,310.20834,2292.664,302.15,759.18854
Papua New Guinea,28.201143,0.082305245,306.7259,2260.457,311.47,1422.9222
Papua New Guinea,28.716785,0.07837276,306.2996,2257.07,319.32,935.03326
Papua New Guinea,30.666758,0.077744104,302.89673,2270.9465,325.94,210.11742
Philippines,26.687527,0.33019033,392.62564,16254.9375,397.17,517.381
Philippines,26.938917,0.32165176,382.96,15140.333,453.8,1283.2494
Philippines,27.226986,0.31360212,389.54483,14367.337,470.35,1079.3531
Philippines,27.518698,0.3822307,396.07727,13668.224,445.91,3345.4768
Philippines,27.811161,0.3614603,403.796,12628.659,341.65,236.22432
Philippines,28.105995,0.42485878,407.5812,11823.867,318.8,172.28465
Philippines,28.43097,0.40214843,416.76727,11036.741,360.36,1202.303
Philippines,28.803978,0.3956544,417.05438,10365.673,414.99,1294.2572
Philippines,29.202013,0.3288818,424.00903,9837.746,525.23,201.2547
Philippines,29.604383,0.3442485,422.5887,9928.413,832.57,1009.0866
Philippines,29.992935,0.37179047,430.63028,9848.864,1012.47,915.03613
Philippines,30.330196,0.49821118,439.776,9465.813,998.23,1754.5348
Philippines,30.6305,0.45218068,450.024,8989.671,1375.35,66.12256
Philippines,30.947464,0.53597146,449.22745,8480.61,2558.51,357.48773
Philippines,31.331984,0.5211218,450.8047,7943.725,3184.92,487.31097
Philippines,31.786465,0.48833135,458.18088,7912.142,2539.97,415.4682
Philippines,32.315548,0.5449152,458.09695,7748.5806,1290.13,1071.186
Philippines,32.95713,0.53352183,453.461,7555.243,826.19,1256.1572
Philippines,33.700245,0.7055526,456.2997,7354.3525,824.06,560.5686
Philippines,34.493046,0.63929814,457.9945,7213.3633,893.17,126.39221
Philippines,35.319126,0.65689665,454.57556,6983.4316,780.55,989.06836
Philippines,36.233387,0.5545401,453.71783,6791.3774,871.71,2051.5583
Philippines,37.301926,0.50067556,456.03006,6433.6514,797.59,703.1801
Philippines,38.46697,0.5462704,455.55148,6036.7075,842.69,582.3719
Philippines,39.666286,0.5077327,451.63293,5801.328,945.57,1262.7059
Philippines,40.82037,0.41879332,454.489,5597.152,1152.85,2075.3896
Philippines,41.931133,0.26254123,452.3091,5487.1104,1256.5,23.404436
Philippines,43.13097,0.09099766,440.00684,5312.058,25255.0,719.3284
Philippines,44.393177,0.24093942,434.73215,5153.8306,19898.0,1029.3596
Philippines,45.598724,0.21928032,436.30396,5060.967,15134.0,1470.0999
Philippines,47.597412,0.18601711,434.1413,4918.921,24252.0,1536.0093
Samoa,36.679966,2.398891,296.4498,5.491615,61.75,377.15564
Samoa,36.984676,3.0192418,295.49823,5.352057,55.43,868.7173
Samoa,37.399197,3.722258,294.75705,5.2381063,127.3,1634.6614
Samoa,37.920986,4.265603,293.44342,5.1450486,123.46,2558.9568
Samoa,38.518738,3.6272008,292.32843,5.0685253,124.68,888.10925
Samoa,39.173767,2.8369644,290.71204,4.983244,68.39,1429.0646
Samoa,40.013565,2.806189,288.60602,4.9065104,77.92,4205.74
Samoa,41.07777,3.227661,286.5109,4.8177223,132.94,343.20947
Samoa,42.26515,3.821616,283.81293,4.638913,370.3,547.1433
Samoa,43.442467,3.8352587,281.82272,4.5564957,531.26,1673.9485
Samoa,44.47629,3.2230978,279.03378,4.388927,630.3,915.6582
Samoa,45.53743,2.8628652,275.7209,4.221318,439.93,592.6282
Samoa,46.7719,2.8243198,272.24115,4.0602083,314.66,1742.4153
Samoa,48.04883,2.5267844,269.47348,3.9370284,157.77,180.23932
Samoa,49.200195,2.4186194,266.1192,3.8357637,111.14,1607.355
Samoa,50.050705,2.388596,263.01794,3.7553322,84.93,780.0792
Samoa,50.520718,2.7721207,259.59308,3.6758811,101.01,1466.5955
Samoa,50.682747,2.706876,257.1138,3.6151989,98.19,259.97095
Samoa,50.699936,2.6352189,254.68289,3.558612,97.69,1161.3484
Samoa,50.669556,2.3095798,252.74837,3.613831,103.92,804.6142
Samoa,50.82447,2.1847956,250.95634,3.694819,118.12,1031.0251
Samoa,51.432,1.9796721,249.03772,3.773615,121.21,1398.3904
Samoa,52.305885,1.8747402,250.49077,3.8629477,122.75,1582.3069
Samoa,53.272305,2.1859262,250.91872,3.9470224,261.39,1209.1125
Samoa,54.139816,2.1268635,251.34521,4.0294294,261.39,1687.5603
Samoa,54.6976,2.163841,251.72102,4.099973,261.39,236.96817
Samoa,54.91739,1.8552489,251.62048,4.1758094,261.39,659.38055
Samoa,54.985027,1.2553567,249.2058,4.184815,261.39,199.28236
Samoa,55.197323,1.7932631,246.14723,4.1979327,261.39,1327.5585
Samoa,55.83869,1.7380704,242.7445,4.1980686,261.39,1454.4059
Samoa,60.032135,1.672744,239.48624,4.2317386,261.39,736.51373
