País,GLM,RF,XG,SVR,KNN,MLP,Desviacion
Cambodia,49.36,29.24,30.27,32.59,27.13,48.94,10.14
China,355.49,83.08,74.01,181.12,86.62,358.2,135.15
Indonesia,59.91,39.57,35.71,40.15,39.24,59.92,11.08
Laos,40.47,27.65,27.48,29.6,27.02,38.9,6.15
Malaysia,77.0,48.91,37.88,46.79,44.69,78.74,17.6
Myanmar,59.17,31.61,30.04,39.84,32.79,57.77,13.3
Papua New Guinea,33.71,25.9,26.89,25.96,25.34,30.71,3.37
Philippines,48.07,33.04,28.15,35.45,34.76,45.58,7.69
Samoa,60.88,38.89,38.06,46.18,40.41,61.62,10.89
Solomon Islands,38.83,26.34,25.08,30.59,27.8,37.69,5.89
Thailand,137.25,60.45,48.94,79.05,62.68,152.97,43.87
Vanuatu,47.13,29.87,27.69,33.56,30.21,48.24,9.16
Azerbaijan,74.67,50.54,44.49,54.61,48.97,76.21,13.71
Georgia,129.52,103.48,90.71,109.5,102.88,131.95,16.23
Kazakhstan,86.38,54.96,54.67,61.45,55.65,84.7,15.12
Kiribati,42.36,34.16,32.61,34.9,32.49,43.92,5.07
Kyrgyzstan,42.39,41.74,42.82,41.02,41.3,42.75,0.76
Mongolia,39.03,28.19,27.33,30.56,27.6,41.39,6.24
Sri Lanka,103.35,53.72,59.48,70.33,58.47,110.01,24.55
Tajikistan,44.47,37.66,36.88,39.26,37.61,43.99,3.39
East Timor,42.65,21.62,17.55,29.43,23.3,42.6,10.84
Turkmenistan,46.23,29.0,28.11,32.76,28.9,47.32,8.97
Armenia,111.95,71.31,54.62,82.16,62.65,118.75,26.35
Fiji,67.06,37.59,30.52,43.77,38.29,74.21,17.74
Albania,165.98,85.05,66.79,89.52,64.18,166.31,47.39
Czechia,207.7,154.02,156.23,154.11,159.31,215.78,29.0
Hungary,199.93,126.93,152.36,138.83,117.93,202.92,36.69
Montenegro,169.99,108.94,122.98,119.84,116.48,184.93,31.89
North Macedonia,152.03,92.59,80.33,111.48,90.4,156.26,32.83
Bulgaria,230.44,227.39,245.88,219.73,241.49,230.39,9.57
Croatia,215.33,131.86,115.12,170.13,134.25,239.41,50.17
Romania,187.98,110.3,122.9,128.63,112.36,205.71,41.37
Bosnia and Herzegovina,219.2,101.92,86.56,139.57,118.65,226.43,60.08
Serbia,207.21,117.96,114.06,136.33,105.31,192.92,43.6
Belarus,176.66,143.78,145.38,151.45,140.34,185.37,19.02
Estonia,237.92,182.62,172.68,190.78,198.87,239.39,28.43
Latvia,232.34,158.21,149.42,168.3,162.53,237.01,39.28
Poland,204.68,127.1,136.22,149.55,121.37,204.52,37.9
Moldova,130.03,94.22,100.9,102.9,93.41,131.9,17.5
Russia,151.52,110.2,112.48,117.41,109.7,146.36,19.11
Slovakia,157.8,97.74,95.22,118.16,105.36,157.43,28.76
Slovenia,234.18,148.51,173.01,178.86,152.16,231.47,37.84
Andorra,271.26,163.7,181.35,183.06,147.04,252.23,50.13
Australia,142.49,121.53,98.59,116.21,122.92,155.43,20.07
Austria,587.27,258.74,249.06,242.35,244.51,398.85,139.68
Belgium,308.0,230.03,244.27,230.53,229.65,315.73,40.85
