País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Cambodia,48.84,45.19,46.68,27.95,27.38,48.72,40.8
China,350.95,317.46,271.64,158.42,149.12,327.42,262.5
Indonesia,59.59,54.07,56.29,35.2,33.34,59.36,49.64
Laos,39.96,36.49,33.94,28.88,28.34,38.93,34.42
Malaysia,66.47,62.57,64.56,43.96,44.63,77.59,59.96
Myanmar,59.25,54.38,54.77,39.34,37.73,56.39,50.31
Papua New Guinea,31.74,27.65,25.94,24.76,24.01,31.45,27.59
Philippines,48.57,42.02,46.91,31.1,32.34,48.01,41.49
Samoa,57.35,56.54,56.6,46.93,48.97,61.66,54.68
Solomon Islands,38.73,35.64,36.04,30.32,30.7,36.69,34.69
Thailand,123.7,111.59,139.19,62.76,63.37,152.25,108.81
Vanuatu,45.15,39.26,42.69,32.88,32.5,46.16,39.77
Azerbaijan,70.59,65.26,66.31,52.76,52.37,77.6,64.15
Georgia,122.06,126.13,124.62,112.2,114.77,131.89,121.95
Kazakhstan,77.58,77.27,74.23,61.51,62.37,84.3,72.88
Kiribati,43.44,38.79,37.61,34.6,33.15,42.73,38.39
Kyrgyzstan,41.25,41.41,40.65,40.8,39.95,43.68,41.29
Mongolia,37.99,36.91,35.86,29.65,28.71,38.98,34.68
Sri Lanka,108.6,98.97,105.94,64.97,61.14,109.33,91.49
Tajikistan,43.66,42.7,41.8,38.59,37.45,43.5,41.28
East Timor,39.25,39.8,40.58,27.79,23.79,51.2,37.07
Turkmenistan,42.39,43.1,42.27,32.34,32.67,47.9,40.11
Armenia,119.36,93.81,112.35,77.72,80.84,100.08,97.36
Fiji,73.53,55.68,57.81,42.14,38.43,72.02,56.6
Albania,160.5,153.35,152.83,74.42,82.76,166.73,131.77
Czechia,208.45,202.11,199.22,149.72,140.84,211.97,185.39
Hungary,210.56,177.9,181.07,139.01,138.02,188.89,172.57
Montenegro,180.07,150.44,152.16,127.84,137.69,166.94,152.52
North Macedonia,150.18,144.44,145.05,114.47,109.48,155.19,136.47
Bulgaria,181.54,216.94,219.15,228.71,233.71,242.31,220.39
Croatia,227.85,217.97,220.92,170.61,160.43,253.63,208.57
Romania,194.7,173.71,183.32,128.16,130.76,207.98,169.77
Bosnia and Herzegovina,226.49,177.15,168.59,135.88,148.57,211.97,178.11
Serbia,215.55,173.39,184.2,138.16,138.6,184.28,172.36
Belarus,177.09,174.62,176.71,148.01,144.24,182.42,167.18
Estonia,227.74,223.77,217.67,186.63,191.89,238.94,214.44
Latvia,225.61,211.78,219.52,150.3,159.1,231.25,199.59
Poland,207.77,193.47,190.68,140.06,133.91,203.3,178.2
Moldova,128.8,125.33,125.76,101.09,104.03,132.12,119.52
Russia,150.2,144.02,140.71,117.58,116.04,145.42,135.66
Slovakia,155.89,142.41,145.69,110.63,112.98,160.39,138.0
Slovenia,232.9,211.06,229.35,164.85,156.32,228.33,203.8
Andorra,251.57,237.5,239.36,171.57,182.06,259.82,223.65
