Año,País,Parkinson,Tasa_contaminacion_Aire,Exp_Plomo,Pesticidas,Nitratos,Usuarios_Internet
1992,Czechia,115.57936,1.4554768,262.31787,1105.73,8.09096,4600811.5
1993,Czechia,117.588,1.4439969,253.40916,1105.73,7.2548356,5614239.5
1994,Czechia,119.72034,1.2986329,251.6261,1105.73,8.145075,6279030.5
1995,Czechia,122.08167,1.1137013,249.17851,1105.73,7.585634,6990960.5
1999,Czechia,131.69164,1.0828159,223.43585,1105.73,7.373879,191.02272
2000,Czechia,134.29433,1.087004,218.0728,1105.73,7.329857,285.7122
2001,Czechia,137.09378,1.1268606,212.69067,1105.73,7.584157,7594268.0
2002,Czechia,140.07516,1.3246146,208.23709,1105.73,7.4654922,8246874.0
2003,Czechia,142.97894,1.4562051,208.58057,1129.87,8.811313,8947446.0
2008,Czechia,155.4882,1.2569369,159.59993,1129.86,21.08494,10.159603
2009,Czechia,157.91159,1.216045,153.92581,1160.01,22.01453,50.500214
2010,Czechia,160.58452,1.1694916,149.25333,5650.0,23.138468,151.43349
2011,Czechia,164.34276,1.3041717,145.86537,4628.0,23.273115,301.63873
2012,Czechia,168.99818,1.4294578,141.48944,4566.0,23.018824,501.3559
2013,Czechia,174.1726,1.6519297,136.69194,4103.0,22.687735,5025.932
2014,Czechia,179.30971,1.7114767,128.74988,3922.0,22.426378,8043.211
2015,Czechia,184.00603,1.7752433,126.4589,5043.0,22.412134,14991.212
2016,Czechia,188.6217,1.6637622,121.17688,3672.0,21.584595,34871.746
2017,Czechia,193.0386,1.550436,118.87499,3679.0,20.038532,40003.742
2018,Czechia,197.55186,1.6666725,116.40102,3623.0,21.390268,46112.895
2019,Czechia,202.631,1.6435621,112.00377,2867.0,20.844854,50135.973
2020,Czechia,211.4698,1.6575642,110.16241,3174.0,20.570066,60186.742
2021,Czechia,209.97318,1.6327243,105.90344,3311.0,19.763266,1424.448
1992,Montenegro,94.91232,0.6164474,228.76015,12092.0,10.467315,10330593.0
1993,Montenegro,96.06998,0.65915066,236.48161,17274.0,10.4552965,14177712.0
1994,Montenegro,97.45093,0.6791066,246.1096,15326.0,14.810449,17358480.0
1995,Montenegro,99.307884,0.66834927,249.23264,17337.49,15.260464,20374048.0
1992,Bulgaria,187.93904,3.3492541,555.86017,750.45,10.676307,1096754.2
1993,Bulgaria,194.62332,3.4985461,594.3438,558.5,7.7595954,1258641.2
1994,Bulgaria,200.63184,3.497118,620.72675,762.42,12.409845,1319482.1
1995,Bulgaria,205.62329,3.44067,630.0565,1060.24,10.805776,1461154.2
1996,Bulgaria,208.8935,3.1175425,639.12366,1386.94,13.72267,774918.75
1997,Bulgaria,209.45403,2.9846315,669.32806,1580.79,15.182738,833212.8
1998,Bulgaria,209.09337,2.147818,652.38336,1808.87,19.285158,874576.4
1999,Bulgaria,209.69574,1.4777588,631.3212,1759.35,19.779142,938973.6
2000,Bulgaria,212.21988,0.9153416,665.869,1528.07,29.983284,1012740.0
2001,Bulgaria,217.22975,0.9474203,676.7978,1166.27,33.712063,1618532.8
2002,Bulgaria,223.63257,1.4950242,676.35895,1042.53,30.181383,1796288.6
2003,Bulgaria,230.70384,1.8480855,663.685,1059.25,33.00274,1810206.4
2004,Bulgaria,237.81387,1.7600931,653.0893,1254.56,43.42447,2396272.8
2005,Bulgaria,244.26505,1.3400855,674.28503,1560.01,64.54851,3155577.0
2006,Bulgaria,250.6062,1.4443991,674.6048,1781.41,65.077835,3280797.5
2007,Bulgaria,257.4455,1.6315274,646.88,2046.39,78.69874,4206175.0
2008,Bulgaria,264.46768,1.7191126,617.80115,2646.16,32.351673,4841811.5
2009,Bulgaria,271.31918,1.5635798,610.6847,2938.25,33.861702,6427952.5
2010,Bulgaria,277.29062,1.4342827,614.6443,3123.39,38.706764,7037037.0
2011,Bulgaria,273.27197,1.4152925,604.0574,2793.45,14.585076,7614666.0
2012,Bulgaria,254.87541,1.5002488,573.98175,2848.95,14.585076,7948515.5
2013,Bulgaria,230.73123,1.5791725,553.9079,2832.85,16.831776,7909983.5
2014,Bulgaria,209.86504,1.4445204,567.0218,92.08,16.831776,103787.36
2015,Bulgaria,201.99774,1.2659448,555.06525,92.08,15.748696,114810.7
2018,Bulgaria,216.65753,1.0339817,532.54254,84.45,14.898605,405.6612
2019,Bulgaria,220.98845,0.96945775,518.3406,144.2,15.325146,465.61908
2020,Bulgaria,220.6885,0.9049383,512.103,207.1,18.708954,937.87506
2021,Bulgaria,223.83974,0.877371,494.3837,117.56,19.061707,1072933.9
1992,Croatia,110.536095,2.101563,348.60376,3115.18,17.56665,1035472.7
1993,Croatia,113.441376,2.306932,346.8327,3539.45,17.600723,1352529.1
1994,Croatia,117.09169,2.4022756,345.03564,3667.88,19.557306,1987050.1
1995,Croatia,122.37807,2.3338604,345.72037,3504.96,19.729862,2348558.0
1996,Croatia,127.910866,2.0678241,342.89197,3504.96,18.208483,78853.91
1997,Croatia,134.01129,1.9837518,341.5876,3504.96,18.92966,147490.77
1998,Croatia,140.17288,1.8685108,333.44012,3504.96,19.57631,196474.23
1999,Croatia,146.40099,2.0287838,326.88947,3504.96,19.07756,343942.75
2000,Croatia,152.55133,1.8017119,312.0387,3504.96,19.112911,737792.6
2001,Croatia,157.63696,1.6827723,303.93918,3504.96,19.162394,2833833.0
2002,Croatia,161.7309,1.8638984,301.65793,3504.96,18.714485,4107928.8
2003,Croatia,164.81644,2.0486557,300.5648,3504.96,18.145401,5327902.5
2004,Croatia,167.78218,2.1139722,277.70468,3504.96,18.734806,6600096.5
2005,Croatia,171.12236,1.8864607,276.18674,3504.96,18.660934,8219886.0
2006,Croatia,175.31847,1.8310829,267.00336,3504.96,23.715437,11368414.0
2007,Croatia,180.20827,1.9467839,267.52228,3504.96,23.667942,13174164.0
2008,Croatia,184.86676,1.9082518,265.33163,3504.96,23.213833,14069535.0
2009,Croatia,189.00504,1.9495434,255.33841,3504.96,24.006485,18074694.0
2010,Croatia,192.29959,1.8598677,250.42107,2184.51,23.163532,22177726.0
2017,Croatia,213.7266,2.0176234,185.19897,2224.09,21.32614,735.2554
2018,Croatia,219.62729,2.1660423,180.75073,1731.13,24.521715,1157.907
2019,Croatia,225.01425,2.1376622,173.1626,1238.18,24.796011,1645.671
2020,Croatia,229.92807,2.1481214,168.94443,745.22,23.824657,5305.9683
2021,Croatia,232.19794,2.1619835,166.19066,864.51,24.214876,985407.7
1992,Bosnia and Herzegovina,83.01893,3.4910479,554.5086,374.1,21.449795,5096789.0
1993,Bosnia and Herzegovina,86.322784,3.8613799,568.85706,435.96,23.98764,5695301.5
1994,Bosnia and Herzegovina,92.13053,3.7971797,571.24835,434.11,22.92093,5985094.5
1995,Bosnia and Herzegovina,98.875885,3.6765146,571.15546,380.01,23.720882,6280942.0
1996,Bosnia and Herzegovina,106.065,3.2730248,558.9729,315.72,20.727823,702255500.0
1997,Bosnia and Herzegovina,113.72197,3.1949694,538.23206,328.0,20.262665,746956000.0
1998,Bosnia and Herzegovina,118.718376,2.835953,503.76007,407.82,22.188938,766908600.0
1999,Bosnia and Herzegovina,121.70755,2.6198716,490.32178,434.32,22.85614,840053300.0
2000,Bosnia and Herzegovina,125.42242,2.2886283,482.93002,429.15,25.573498,912204350.0
