Año,País,Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
2021,Cambodia,47.48,2.58,665.63,793.33,17390.37,1828.93
2021,China,356.85,7.19,458.91,2380.87,233876.05,827.31
2021,Indonesia,58.05,2.98,639.61,33702.59,283297.12,3506.88
2021,Laos,40.36,4.15,852.68,571.48,187.31,1848.15
2021,Malaysia,75.38,2.09,301.39,532.31,45671.0,3160.46
2021,Myanmar,59.02,7.75,657.0,3801.7,11748.89,2067.39
2021,Papua New Guinea,29.5,0.07,296.96,2231.33,1175.17,4314.68
2021,Philippines,47.75,0.17,423.95,4750.22,37660.36,3117.84
2021,Samoa,57.25,1.64,236.44,4.23,272.15,2666.1
2021,Solomon Islands,35.97,0.02,672.94,48.0,39.65,4375.59
2021,Thailand,147.7,2.07,128.72,4700.67,8745.25,1728.96
2021,Vanuatu,41.54,0.54,545.58,26.12,15.78,2590.59
2021,Vietnam,92.23,2.28,399.28,883.54,148668.67,2075.22
2021,Azerbaijan,69.9,1.78,353.5,98.65,542.82,461.44
2021,Georgia,127.08,1.31,499.36,2.98,2485.1,1309.45
2021,Kazakhstan,78.33,3.75,232.45,20.91,18323.6,277.18
2021,Kiribati,41.0,6.22,311.94,27.56,32.6,539.02
2021,Kyrgyzstan,41.47,4.22,401.84,33.47,608.0,821.7
2021,Mongolia,38.27,1.49,421.4,16.17,5114.8,306.4
2021,Sri Lanka,109.55,3.62,184.14,536.11,2777.7,1973.15
2021,Tajikistan,43.44,3.88,559.99,764.56,570.25,602.12
2021,East Timor,42.34,1.78,796.08,109.65,138.26,2112.87
2021,Turkmenistan,44.57,1.11,420.21,27.76,1255.2,94.54
2021,Armenia,113.79,2.26,266.62,2.07,914.03,761.65
2021,Fiji,63.73,0.38,224.6,86.01,612.34,2851.44
2021,Albania,169.55,0.59,298.69,7.84,433.3,1582.39
2021,Czechia,209.97,1.63,105.9,100.0,4479.84,880.72
2021,Hungary,187.72,2.18,206.87,73.85,8878.59,625.42
2021,Montenegro,162.53,0.62,254.66,0.16,110.69,1749.03
2021,North Macedonia,152.84,0.7,403.34,8.97,98.0,912.72
2021,Bulgaria,223.84,0.88,494.38,34.44,4481.58,885.54
2021,Croatia,232.2,2.16,166.19,18.28,1469.65,1059.6
2021,Romania,187.52,0.31,279.21,161.73,8369.18,820.95
2021,Bosnia and Herzegovina,191.92,1.54,329.2,9.08,2723.4,1266.57
2021,Serbia,186.72,0.65,272.42,20.26,2266.91,821.35
2021,Belarus,183.76,0.3,283.94,4.38,4117.78,792.92
2021,Estonia,228.03,0.19,162.21,0.47,885.92,758.89
2021,Latvia,216.22,0.25,166.33,0.79,1984.43,785.14
2021,Poland,205.36,0.88,183.65,290.79,26949.22,813.24
2021,Moldova,132.72,0.51,302.2,7.16,5166.75,627.97
2021,Russia,152.19,0.47,207.93,131.46,97018.45,587.52
2021,Slovakia,155.8,0.8,172.17,4.47,1620.0,828.63
2021,Slovenia,234.27,1.52,70.19,5.0,907.19,1283.78
2021,Andorra,258.64,1.8,52.29,0.0,17.3,935.57
2021,Australia,170.08,0.31,87.5,28.57,59634.0,476.02
2021,Austria,329.19,1.64,81.57,5.84,5790.56,1247.46
2021,Belgium,317.54,1.21,104.5,32.46,5575.94,1102.37
2021,Brunei,64.28,0.4,185.35,0.34,288.69,3369.92
2021,Cyprus,244.58,3.6,172.53,1.92,1104.02,300.84
2021,Denmark,301.57,1.66,56.23,11.73,2974.53,821.5
2021,Ireland,259.37,0.15,68.44,1.31,3090.94,1103.31
2021,Israel,273.87,1.57,53.91,12.93,6983.0,164.18
2021,Italy,312.46,2.14,110.78,97.78,50177.3,990.35
2021,Japan,159.6,0.54,40.22,456.09,48783.0,1965.72
2021,Lithuania,209.03,0.21,147.3,3.58,2612.9,822.31
2021,Luxembourg,271.07,1.33,59.94,0.66,129.7,1084.05
2021,New Zealand,119.43,0.42,106.02,12.86,5285.2,1646.2
2021,South Korea,164.45,2.2,90.43,139.14,19014.0,1231.1
2021,Ukraine,179.87,0.48,215.92,15.89,26974.0,717.21
2021,Finland,389.82,0.18,55.14,3.09,4099.76,773.21
2021,France,359.77,0.66,64.76,61.08,69697.52,1272.52
2021,Germany,494.18,1.24,65.19,87.83,48712.16,988.04
2021,Greece,373.65,1.43,171.3,2.69,4711.8,900.71
2021,Iceland,302.64,0.63,62.67,0.13,1.35,1337.83
2021,Netherlands,375.04,1.41,55.83,13.62,9346.73,1005.32
2021,Norway,188.11,0.64,52.21,9.49,710.0,1134.87
2021,Portugal,291.42,0.95,147.17,17.57,9583.2,734.05
2021,Spain,430.79,2.41,118.21,55.82,76173.56,661.64
2021,Sweden,285.79,0.41,49.79,24.63,2137.9,810.07
2021,Switzerland,334.0,1.24,71.06,6.3,2219.93,1713.73
2021,Antigua and Barbuda,101.12,0.0,332.4,0.75,250.94,626.03
2021,Argentina,132.04,0.98,140.99,219.06,241519.98,606.78
2021,Bahamas,79.87,0.36,274.92,2.01,178.05,623.92
2021,Belize,50.25,1.04,271.38,6.71,1123.03,1328.59
2021,Canada,403.91,0.89,59.35,63.77,97692.0,688.27
2021,Chile,167.13,0.54,66.66,57.96,16996.83,1268.55
2021,Cuba,130.42,0.65,376.75,149.36,2666.02,775.49
2021,United Kingdom,292.4,0.39,62.81,28.81,14794.06,1062.88
2021,United States,208.01,2.22,114.99,406.09,433770.9,834.52
2021,Uruguay,204.99,0.78,187.53,27.08,16446.12,1052.45
2021,Dominican Republic,65.79,0.35,628.6,429.86,2573.62,925.57
2021,Jamaica,81.83,0.81,408.43,56.69,1641.61,937.09
2021,Saint Vincent and the Grenadines,86.99,0.01,678.21,2.28,137.06,876.7
2021,Suriname,69.75,0.06,454.41,24.35,906.97,2836.48
2021,Bolivia,118.78,1.92,399.36,280.34,18306.98,1476.14
2021,Colombia,109.92,0.64,183.71,524.94,39324.0,3333.52
2021,Costa Rica,124.69,0.62,189.3,29.89,9172.33,3247.59
2021,Ecuador,138.35,0.52,204.57,97.65,1655.79,3302.68
2021,El Salvador,98.41,1.24,456.19,157.13,3793.4,1496.69
2021,Guatemala,56.62,0.62,479.23,1574.35,13227.52,1656.58
2021,Haiti,33.48,1.85,1373.92,3347.37,864.27,825.41
2021,Honduras,65.91,2.41,953.24,581.5,10533.17,1417.35
2021,Peru,147.89,0.43,165.14,367.48,11583.25,2224.2
2021,Trinidad and Tobago,94.89,0.07,184.07,14.98,1173.0,1652.88
2021,Algeria,68.65,3.29,657.81,194.33,6067.35,47.64
2021,Brazil,101.65,1.92,242.46,2790.03,719507.0,1769.51
2021,Mexico,95.03,2.14,325.28,1872.32,19767.32,833.02
2021,Nicaragua,77.36,0.64,343.25,135.87,13709.8,1554.03
2021,Panama,112.55,0.59,209.45,72.06,979.97,3312.58
2021,Paraguay,69.57,1.36,287.97,64.89,25086.22,1007.79
2021,Venezuela,101.17,0.74,479.31,683.93,3928.0,2249.82
2021,Bahrain,49.45,7.24,338.11,2.78,30.24,15.22
2021,Egypt,62.74,3.37,1728.57,1103.03,10545.47,10.8
2021,Iran,84.64,2.91,716.1,238.31,5855.93,171.45
2021,Iraq,45.81,1.98,782.54,277.3,324.08,92.53
2021,Jordan,37.32,1.53,406.78,30.26,401.34,48.27
2021,Kuwait,50.0,0.52,219.15,2.16,1410.99,51.38
2021,Lebanon,105.79,2.21,203.38,64.09,1816.0,547.78
2021,Libya,61.4,2.96,560.93,36.34,1721.37,10.94
2021,Morocco,81.64,3.19,707.67,538.28,13697.0,229.52
2021,Oman,43.01,1.88,503.91,14.17,284.25,28.02
2021,Palestine,41.24,2.29,761.17,13.2,1348.14,239.8
2021,Qatar,32.12,2.84,186.68,1.82,1152.85,10.25
2021,Saudi Arabia,46.74,3.9,729.76,128.45,7255.65,34.7
2021,Syria,75.6,3.49,1029.04,37.06,1897.26,123.45
2021,Tunisia,101.14,2.48,570.53,61.13,3299.07,129.66
2021,Turkey,104.53,4.7,292.27,400.76,52875.64,651.03
2021,Yemen,26.88,3.66,1736.25,1172.6,1504.08,144.84
2021,Angola,18.66,2.24,630.84,5885.06,40.0,972.68
2021,Bangladesh,67.79,12.61,711.75,23017.13,15506.47,1985.98
2021,Bhutan,71.59,14.29,628.99,55.46,173.87,3223.03
2021,India,73.61,24.14,681.48,338521.16,40093.69,1241.87
2021,Nepal,57.62,32.25,866.85,3044.12,783.14,2583.33
2021,Pakistan,39.9,15.42,835.65,28947.3,26702.0,289.48
2021,Burundi,17.64,4.1,648.7,3828.74,50.26,1902.26
2021,Central African Republic,18.6,8.37,1076.02,3359.46,203.89,962.16
2021,Congo,29.16,3.85,527.72,745.15,831.39,1447.94
2021,Democratic Republic of Congo,20.06,5.46,692.67,11687.79,952.85,1373.92
2021,Equatorial Guinea,21.59,2.38,456.56,76.47,78.25,2979.69
2021,Gabon,39.21,1.34,427.41,113.31,1130.41,2159.0
2021,Comoros,35.4,0.67,465.08,107.31,37.41,1175.69
2021,Djibouti,24.93,2.05,544.54,158.13,18.41,187.96
2021,Eritrea,20.29,3.07,693.42,1942.42,27.63,223.78
2021,Ethiopia,21.69,2.56,573.97,28203.4,4128.1,822.39
2021,Kenya,24.6,2.47,366.53,9012.01,5464.5,494.33
2021,Madagascar,16.9,2.47,792.62,11158.37,701.11,1137.43
2021,Malawi,18.91,1.7,642.8,5303.33,1420.24,1277.87
2021,Mauritius,124.31,0.0,240.83,12.0,705.3,959.36
2021,Mozambique,16.91,1.3,1022.71,6627.92,2932.57,828.88
2021,Rwanda,22.94,4.19,513.43,1898.72,2027.03,1421.55
2021,Seychelles,106.21,0.56,225.05,2.52,121.21,1538.94
2021,Somalia,11.53,2.64,1196.09,12943.96,746.83,162.08
2021,Uganda,17.94,2.68,476.46,6584.11,6015.66,1248.43
2021,Tanzania,22.94,1.32,388.64,13097.0,1.0,902.38
2021,Zambia,18.39,2.38,681.93,3561.23,4196.64,1050.01
2021,Botswana,35.74,2.44,493.78,475.11,1386.49,612.27
2021,Lesotho,29.15,5.38,1043.52,1006.8,239.53,1227.07
2021,Namibia,32.89,4.25,550.31,542.85,1163.02,438.55
2021,South Africa,48.91,2.06,331.91,9139.86,42620.17,627.27
2021,Eswatini,27.19,3.32,746.61,277.45,1344.6,1018.48
2021,Zimbabwe,24.02,2.11,709.65,3834.58,2185.07,788.98
2021,Benin,23.12,3.53,480.85,3195.64,5048.59,848.26
2021,Burkina Faso,23.68,2.08,838.27,8883.93,3037.82,474.56
2021,Cape Verde,61.47,1.01,374.06,34.2,5.0,142.82
2021,Cameroon,24.67,3.33,680.21,5482.96,9905.76,1606.49
2021,Chad,17.26,3.36,994.48,20310.44,50.31,204.63
2021,Cote d'Ivoire,24.12,2.42,619.33,4296.48,22.87,1263.71
2021,Gambia,26.59,2.73,807.58,359.56,261.45,743.12
2021,Ghana,26.83,1.84,456.96,4317.24,9689.5,1057.19
2021,Guinea,25.45,2.92,814.58,3264.18,110.5,1620.35
2021,Guinea-Bissau,19.04,3.28,1048.3,440.03,82.0,1273.95
2021,Liberia,21.78,2.11,748.7,1306.78,1019.11,2553.5
2021,Mali,18.89,4.32,703.67,6532.84,3.75,189.69
2021,Mauritania,31.13,1.37,436.51,525.84,420.98,33.91
2021,Niger,16.29,3.28,811.74,12630.46,34.79,53.87
2021,Nigeria,25.02,2.74,351.18,98102.15,57638.02,888.83
2021,Sao Tome and Principe,36.58,4.42,480.34,10.55,24.65,1550.52
2021,Senegal,32.42,2.16,525.75,1924.22,576.08,462.97
2021,Sierra Leone,23.91,2.02,681.09,2544.82,360.95,2654.28
2021,Togo,24.02,4.09,629.94,2289.43,1425.0,1074.55
2021,Cook Islands,153.09,0.59,131.94,0.36,14.93,1881.74
2021,Greenland,123.93,1.56,106.92,0.05,8.61,475.92
2021,Sudan,34.84,2.82,1209.91,1413.76,4082.53,134.85
